city,country
Delhi,India
Mumbai,India
Kolkata,India
Chennai,India
Bengaluru,India
Hyderabad,India
Ahmedabad,India
Pune,India
Jaipur,India
Lucknow,India
Bhopal,India
Chandigarh,India
Patna,India
Ranchi,India
Raipur,India
Guwahati,India
Thiruvananthapuram,India
Panaji,India
Imphal,India
Shillong,India
Aizawl,India
Kohima,India
Itanagar,India
Agartala,India
Dehradun,India
Shimla,India
Srinagar,India
Leh,India
Gangtok,India
Port Blair,India
